date,product_category,sales,quantity,price,customer_segment,region
2024-01-27,Electronics,15492.17,75,85.67,Standard,South
2024-02-09,Clothing,17648.18,94,356.32,Standard,West
2024-01-28,Electronics,12196.93,71,120.49,Standard,East
2024-02-04,Food,5228.64,85,75.71,Standard,West
2024-02-03,Electronics,3075.18,47,42.5,Standard,North
2024-01-26,Electronics,19923.81,50,438.14,Standard,North
2024-02-12,Electronics,17553.22,50,554.15,Premium,East
2024-02-12,Electronics,12134.14,31,598.14,Standard,East
2024-01-22,Electronics,4415.52,38,527.04,Standard,North
2024-02-16,Electronics,14505.45,102,146.45,Standard,East
2024-01-21,Food,7076.25,69,46.2,Standard,South
2024-02-08,Clothing,18342.3,34,47.76,Standard,West
2024-01-25,Electronics,5782.4,66,39.89,Standard,North
2024-01-25,Electronics,9883.14,59,352.3,Standard,East
2024-01-19,Electronics,4119.77,33,42.2,Standard,North
2024-02-17,Electronics,13981.87,83,173.65,Standard,North
2024-02-03,Clothing,8796.93,101,214.39,Premium,South
2024-02-01,Electronics,18815.57,34,114.66,Premium,East
2024-01-23,Electronics,9799.9,29,43.09,Premium,North
2024-01-16,Electronics,9729.15,81,224.44,Premium,West
2024-01-16,Food,3007.95,75,42.09,Standard,East
2024-02-17,Electronics,4633.29,46,39.79,Standard,West
2024-01-30,Food,3397.03,103,39.81,Standard,South
2024-01-26,Electronics,20278.5,27,626.02,Standard,East
2024-01-15,Electronics,19354.22,28,630.0,Premium,West
2024-01-27,Electronics,8798.05,82,217.67,Standard,South
2024-02-05,Electronics,14792.75,85,628.05,Premium,East
2024-02-03,Electronics,7612.41,35,56.48,Standard,East
2024-01-18,Clothing,8532.23,102,39.95,Standard,East
2024-01-19,Electronics,6737.73,55,45.27,Standard,East
2024-01-29,Electronics,21083.67,34,630.0,Premium,West
2024-01-15,Electronics,11943.86,29,561.56,Premium,North
2024-02-17,Food,7224.6,99,86.49,Standard,East
2024-02-10,Clothing,3704.87,44,39.89,Standard,East
2024-01-25,Clothing,3441.54,99,39.87,Standard,West
2024-01-15,Electronics,7176.92,73,158.2,Premium,South
2024-02-05,Clothing,10238.56,55,270.3,Premium,East
2024-01-26,Electronics,13614.8,33,243.92,Standard,North
2024-02-14,Food,4780.12,104,39.78,Standard,East
2024-01-23,Clothing,12592.12,98,516.9,Standard,West
2024-01-21,Electronics,16285.59,49,551.67,Standard,North
2024-01-17,Food,11727.1,52,55.63,Standard,East
2024-02-07,Electronics,19605.32,28,596.26,Standard,South
2024-01-31,Food,5973.95,82,239.59,Standard,South
2024-01-27,Clothing,17388.81,79,247.08,Standard,East
2024-01-21,Clothing,19065.28,62,615.4,Standard,North
2024-01-15,Electronics,17987.57,52,629.59,Premium,South
2024-01-26,Electronics,19607.21,69,629.98,Premium,East
2024-01-24,Food,6578.04,94,527.57,Standard,South
2024-02-11,Clothing,8621.31,70,53.45,Standard,North
2024-01-31,Clothing,9336.62,34,595.35,Premium,North
2024-02-04,Electronics,13804.56,30,448.26,Standard,West
2024-02-07,Electronics,13216.22,74,62.39,Standard,North
2024-01-16,Electronics,19772.36,31,612.63,Standard,North
2024-02-13,Electronics,5174.18,85,143.66,Standard,South
2024-02-13,Electronics,16030.46,67,435.39,Standard,South
2024-01-26,Clothing,6709.58,85,39.78,Standard,South
2024-02-19,Electronics,18552.57,94,628.45,Standard,East
